"Month","Total","BusTotal","BusRapid","BusOther","Train","Ferry"
"Jan",5328.8,3872.1,184.1,3688,863.6,593.1
"Feb",6683,4917.3,226.7,4690.6,1209.9,555.8
"Mar",8394.8,6282.6,300.3,5982.3,1564.8,547.4
"Apr",6286.2,4674.8,232.6,4442.2,1134.5,476.9
"May",7311.8,5535.1,269,5266.1,1344.3,432.4
"Jun",6743.1,5100,245.7,4854.3,1265.5,377.6
"Jul",6748.6,5019.8,313.9,4705.9,1328.6,400.2
"Aug",7276.5,5453.6,326.7,5126.9,1419.4,403.5
"Sep",6985.2,5218.3,314,4904.3,1362.3,404.5
"Oct",7082,5254.8,338.7,4916.1,1359.6,467.6
"Nov",6900.6,5037.1,347,4690.1,1377.4,486.1
"Dec",5836.6,4111.6,272,3839.6,1149.8,575.2
